IBR-Agüimes;;;;;;;;;;;
FECHA;HORA;SO2;NO;NO2;PM10;;;;;;
16/01/2008;4;7;7;7;6;;;;;;
16/01/2008;5;7;8;5;5;;;;;;
16/01/2008;6;7;8;5;8;;;;;;
16/01/2008;7;8;7;8;10;;;;;;
16/01/2008;8;8;8;11;10;;;;;;
16/01/2008;9;9;8;12;10;;;;;;
16/01/2008;10;11;9;9;12;;;;;;
16/01/2008;11;12;9;9;10;;;;;;
16/01/2008;12;12;9;8;16;;;;;;
16/01/2008;13;10;8;4;7;;;;;;
16/01/2008;14;10;9;3;9;;;;;;
16/01/2008;15;9;8;5;6;;;;;;
16/01/2008;16;10;8;6;9;;;;;;
16/01/2008;17;11;9;9;12;;;;;;
16/01/2008;18;13;9;11;10;;;;;;
16/01/2008;19;11;9;7;9;;;;;;
16/01/2008;20;13;8;9;10;;;;;;
16/01/2008;21;11;9;8;13;;;;;;
16/01/2008;22;11;8;9;11;;;;;;
16/01/2008;23;11;7;10;8;;;;;;
16/01/2008;24;9;7;6;16;;;;;;
17/01/2008;1;9;8;5;11;;;;;;
17/01/2008;2;9;6;6;7;;;;;;
17/01/2008;3;8;7;6;7;;;;;;
17/01/2008;4;8;7;6;6;;;;;;
17/01/2008;5;7;8;4;8;;;;;;
17/01/2008;6;9;7;4;8;;;;;;
17/01/2008;7;10;6;7;7;;;;;;
17/01/2008;8;9;8;6;9;;;;;;
17/01/2008;9;9;7;11;12;;;;;;
17/01/2008;10;11;7;10;13;;;;;;
17/01/2008;11;10;7;6;9;;;;;;
17/01/2008;12;11;7;5;9;;;;;;
17/01/2008;13;10;9;6;8;;;;;;
17/01/2008;14;10;7;5;9;;;;;;
17/01/2008;15;9;6;5;10;;;;;;
17/01/2008;16;10;7;9;11;;;;;;
17/01/2008;17;15;7;12;14;;;;;;
17/01/2008;18;15;7;13;8;;;;;;
17/01/2008;19;11;6;7;13;;;;;;
17/01/2008;20;11;4;11;11;;;;;;
17/01/2008;21;9;5;9;23;;;;;;
17/01/2008;22;10;4;12;15;;;;;;
17/01/2008;23;9;3;9;12;;;;;;
17/01/2008;24;9;3;9;9;;;;;;
18/01/2008;1;7;4;9;9;;;;;;
18/01/2008;2;9;4;10;7;;;;;;
18/01/2008;3;10;6;6;7;;;;;;
18/01/2008;4;9;4;8;14;;;;;;
18/01/2008;5;9;4;6;9;;;;;;
18/01/2008;6;8;6;4;7;;;;;;
18/01/2008;7;10;6;9;16;;;;;;
18/01/2008;8;10;6;17;13;;;;;;
18/01/2008;9;9;7;18;20;;;;;;
18/01/2008;10;10;7;10;22;;;;;;
18/01/2008;11;11;6;8;23;;;;;;
18/01/2008;12;13;5;8;22;;;;;;
18/01/2008;13;13;5;4;20;;;;;;
18/01/2008;14;12;4;7;26;;;;;;
18/01/2008;15;12;6;8;19;;;;;;
18/01/2008;16;10;5;5;14;;;;;;
18/01/2008;17;9;6;7;12;;;;;;
18/01/2008;18;8;9;10;16;;;;;;
18/01/2008;19;9;8;6;18;;;;;;
18/01/2008;20;11;8;18;16;;;;;;
18/01/2008;21;12;15;15;8;;;;;;
18/01/2008;22;10;34;33;23;;;;;;
18/01/2008;23;8;16;11;13;;;;;;
18/01/2008;24;9;20;16;15;;;;;;
19/01/2008;1;8;16;7;19;;;;;;
19/01/2008;2;11;18;8;9;;;;;;
19/01/2008;3;11;18;14;16;;;;;;
19/01/2008;4;10;17;6;8;;;;;;
19/01/2008;5;9;17;5;13;;;;;;
19/01/2008;6;9;16;5;19;;;;;;
19/01/2008;7;8;16;17;20;;;;;;
19/01/2008;8;10;28;32;24;;;;;;
19/01/2008;9;9;31;43;28;;;;;;
19/01/2008;10;10;18;17;17;;;;;;
19/01/2008;11;9;14;12;12;;;;;;
